time,player_id,row,col
1765413713.214286,1,0,12
1765413713.256417,1,0,12
1765413713.298474,1,0,12
1765413713.298474,2,19,1
1765413713.341111,1,0,12
1765413713.341111,2,19,1
1765413713.383059,1,0,12
1765413713.383059,2,19,1
1765413713.424963,1,0,12
1765413713.424963,2,19,1
1765413713.469205,1,0,12
1765413713.469205,2,19,1
1765413713.511934,1,0,12
1765413713.511934,2,19,1
1765413713.553940,1,0,12
1765413713.553940,2,19,1
1765413713.595667,1,0,12
1765413713.595667,2,19,1
1765413713.638412,1,0,12
1765413713.638412,2,19,1
1765413713.681823,1,0,12
1765413713.681823,2,19,1
1765413713.681823,3,7,1
1765413713.723988,1,0,12
1765413713.723988,2,19,1
1765413713.723988,3,7,1
1765413713.766550,1,0,12
1765413713.766550,2,19,1
1765413713.766550,3,7,1
1765413713.808306,1,0,12
1765413713.808306,2,19,1
1765413713.808306,3,7,1
1765413713.850440,1,0,12
1765413713.850440,2,19,1
1765413713.850440,3,7,1
1765413713.892765,1,0,12
1765413713.892765,2,19,1
1765413713.892765,3,7,1
1765413713.938036,1,0,12
1765413713.938036,2,19,1
1765413713.938036,3,7,1
1765413713.971408,1,0,12
1765413713.971408,2,19,1
1765413713.971408,3,7,1
1765413713.971408,4,6,7
1765413714.014266,1,0,12
1765413714.014266,2,19,1
1765413714.014266,3,7,1
1765413714.014266,4,6,7
1765413714.056129,1,0,12
1765413714.056129,2,19,1
1765413714.056129,3,7,1
1765413714.056129,4,6,7
1765413714.098580,1,0,12
1765413714.098580,2,19,1
1765413714.098580,3,7,1
1765413714.098580,4,6,7
1765413714.141242,1,0,12
1765413714.141242,2,19,1
1765413714.141242,3,7,1
1765413714.141242,4,6,7
1765413714.183871,1,0,12
1765413714.183871,2,18,1
1765413714.183871,3,7,1
1765413714.183871,4,6,7
1765413714.227229,1,0,12
1765413714.227229,2,18,1
1765413714.227229,3,7,1
1765413714.227229,4,6,7
1765413714.270208,1,0,12
1765413714.270208,2,18,1
1765413714.270208,3,7,1
1765413714.270208,4,6,7
1765413714.312416,1,0,12
1765413714.312416,2,18,1
1765413714.312416,3,7,1
1765413714.312416,4,6,7
1765413714.354296,1,0,12
1765413714.354296,2,18,1
1765413714.354296,3,7,1
1765413714.354296,4,6,7
1765413714.396174,1,0,12
1765413714.396174,2,18,1
1765413714.396174,3,7,1
1765413714.396174,4,6,7
1765413714.439464,1,0,12
1765413714.439464,2,18,1
1765413714.439464,3,7,1
1765413714.439464,4,6,7
1765413714.481023,1,0,12
1765413714.481023,2,18,1
1765413714.481023,3,7,1
1765413714.481023,4,6,7
1765413714.523462,1,0,12
1765413714.523462,2,18,1
1765413714.523462,3,7,1
1765413714.523462,4,6,7
1765413714.565973,1,0,12
1765413714.565973,2,18,1
1765413714.565973,3,6,1
1765413714.565973,4,6,7
1765413714.608377,1,0,12
1765413714.608377,2,18,1
1765413714.608377,3,6,1
1765413714.608377,4,6,7
1765413714.642888,1,0,12
1765413714.642888,2,18,1
1765413714.642888,3,6,1
1765413714.642888,4,6,7
1765413714.679538,1,0,12
1765413714.679538,2,18,1
1765413714.679538,3,6,1
1765413714.679538,4,6,7
1765413714.721527,1,0,12
1765413714.721527,2,18,1
1765413714.721527,3,6,1
1765413714.721527,4,6,7
1765413714.764540,1,0,12
1765413714.764540,2,18,1
1765413714.764540,3,6,1
1765413714.764540,4,6,7
1765413714.807164,1,0,12
1765413714.807164,2,18,1
1765413714.807164,3,6,1
1765413714.807164,4,6,7
1765413714.849625,1,0,12
1765413714.849625,2,18,1
1765413714.849625,3,6,1
1765413714.849625,4,5,7
1765413714.891802,1,0,12
1765413714.891802,2,18,1
1765413714.891802,3,6,1
1765413714.891802,4,5,7
1765413714.934288,1,0,12
1765413714.934288,2,18,1
1765413714.934288,3,6,1
1765413714.934288,4,5,7
1765413714.976418,1,0,12
1765413714.976418,2,18,1
1765413714.976418,3,6,1
1765413714.976418,4,5,7
1765413715.018280,1,0,12
1765413715.018280,2,18,1
1765413715.018280,3,6,1
1765413715.018280,4,5,7
1765413715.060534,1,0,12
1765413715.060534,2,18,1
1765413715.060534,3,6,1
1765413715.060534,4,5,7
1765413715.102118,1,0,12
1765413715.102118,2,18,1
1765413715.102118,3,6,1
1765413715.102118,4,5,7
1765413715.143929,1,0,12
1765413715.143929,2,18,1
1765413715.143929,3,6,1
1765413715.143929,4,5,7
1765413715.187109,1,0,12
1765413715.187109,2,17,1
1765413715.187109,3,6,1
1765413715.187109,4,5,7
1765413715.229133,1,0,12
1765413715.229133,2,17,1
1765413715.229133,3,6,1
1765413715.229133,4,5,7
1765413715.271343,1,0,12
1765413715.271343,2,17,1
1765413715.271343,3,6,1
1765413715.271343,4,5,7
1765413715.313929,1,0,12
1765413715.313929,2,17,1
1765413715.313929,3,6,1
1765413715.313929,4,5,7
1765413715.355767,1,0,12
1765413715.355767,2,17,1
1765413715.355767,3,6,1
1765413715.355767,4,5,7
1765413715.390179,1,0,12
1765413715.390179,2,17,1
1765413715.390179,3,6,1
1765413715.390179,4,5,7
1765413715.432562,1,0,12
1765413715.432562,2,17,1
1765413715.432562,3,6,1
1765413715.432562,4,5,7
1765413715.474310,1,0,12
1765413715.474310,2,17,1
1765413715.474310,3,6,1
1765413715.474310,4,5,7
1765413715.516279,1,0,12
1765413715.516279,2,16,1
1765413715.516279,3,6,1
1765413715.516279,4,5,7
1765413715.558189,1,0,12
1765413715.558189,2,16,1
1765413715.558189,3,5,1
1765413715.558189,4,5,7
1765413715.600893,1,0,12
1765413715.600893,2,16,1
1765413715.600893,3,5,1
1765413715.600893,4,5,7
1765413715.643726,1,0,12
1765413715.643726,2,16,1
1765413715.643726,3,5,1
1765413715.643726,4,5,7
1765413715.817195,1,0,12
1765413715.817195,2,16,1
1765413715.817195,3,5,1
1765413715.817195,4,5,7
1765413715.895269,1,0,12
1765413715.895269,2,16,1
1765413715.895269,3,4,1
1765413715.895269,4,4,7
1765413715.940194,1,0,12
1765413715.940194,2,16,1
1765413715.940194,3,4,1
1765413715.940194,4,4,7
1765413715.974103,1,0,12
1765413715.974103,2,16,1
1765413715.974103,3,4,1
1765413715.974103,4,4,7
1765413716.017010,1,0,12
1765413716.017010,2,16,1
1765413716.017010,3,4,1
1765413716.017010,4,4,7
1765413716.058707,1,0,12
1765413716.058707,2,16,1
1765413716.058707,3,4,1
1765413716.058707,4,4,7
1765413716.101126,1,0,12
1765413716.101126,2,16,1
1765413716.101126,3,4,1
1765413716.101126,4,4,7
1765413716.143678,1,0,12
1765413716.143678,2,16,1
1765413716.143678,3,4,1
1765413716.143678,4,4,7
1765413716.186208,1,0,12
1765413716.186208,2,16,1
1765413716.186208,3,4,1
1765413716.186208,4,3,7
1765413716.228675,1,0,12
1765413716.228675,2,16,1
1765413716.228675,3,4,1
1765413716.228675,4,3,7
1765413716.270937,1,0,12
1765413716.270937,2,16,1
1765413716.270937,3,4,1
1765413716.270937,4,3,7
1765413716.312862,1,0,12
1765413716.312862,2,16,1
1765413716.312862,3,4,1
1765413716.312862,4,3,7
1765413716.356342,1,0,12
1765413716.356342,2,16,1
1765413716.356342,3,4,1
1765413716.356342,4,3,7
1765413716.398329,1,0,12
1765413716.398329,2,16,1
1765413716.398329,3,4,1
1765413716.398329,4,3,7
1765413716.440553,1,0,12
1765413716.440553,2,16,1
1765413716.440553,3,4,1
1765413716.440553,4,3,7
1765413716.482006,1,0,12
1765413716.482006,2,16,1
1765413716.482006,3,4,1
1765413716.482006,4,3,7
1765413716.524693,1,0,12
1765413716.524693,2,16,1
1765413716.524693,3,4,1
1765413716.524693,4,3,7
1765413716.567220,1,0,12
1765413716.567220,2,16,1
1765413716.567220,3,4,1
1765413716.567220,4,3,7
1765413716.609300,1,0,12
1765413716.609300,2,16,1
1765413716.609300,3,4,1
1765413716.609300,4,3,7
1765413716.651553,1,0,13
1765413716.651553,2,16,1
1765413716.651553,3,4,1
1765413716.651553,4,3,7
1765413716.693909,1,0,13
1765413716.693909,2,16,1
1765413716.693909,3,4,1
1765413716.693909,4,3,7
1765413716.736331,1,0,13
1765413716.736331,2,16,1
1765413716.736331,3,4,1
1765413716.736331,4,3,7
1765413716.778819,1,0,13
1765413716.778819,2,16,2
1765413716.778819,3,4,1
1765413716.778819,4,3,7
1765413716.820710,1,0,13
1765413716.820710,2,16,2
1765413716.820710,3,4,1
1765413716.820710,4,3,7
1765413716.862700,1,0,13
1765413716.862700,2,16,2
1765413716.862700,3,4,1
1765413716.862700,4,3,7
1765413716.904753,1,0,13
1765413716.904753,2,16,2
1765413716.904753,3,4,1
1765413716.904753,4,3,7
1765413716.947040,1,0,13
1765413716.947040,2,16,2
1765413716.947040,3,4,1
1765413716.947040,4,3,7
1765413716.989089,1,0,13
1765413716.989089,2,16,2
1765413716.989089,3,4,1
1765413716.989089,4,3,7
1765413717.031692,1,0,13
1765413717.031692,2,16,2
1765413717.031692,3,4,1
1765413717.031692,4,3,7
1765413717.074128,1,0,13
1765413717.074128,2,16,2
1765413717.074128,3,4,1
1765413717.074128,4,3,7
1765413717.116919,1,0,13
1765413717.116919,2,16,2
1765413717.116919,3,4,1
1765413717.116919,4,3,7
1765413717.159150,1,0,13
1765413717.159150,2,16,2
1765413717.159150,3,4,2
1765413717.159150,4,3,7
1765413717.201869,1,0,13
1765413717.201869,2,16,2
1765413717.201869,3,4,2
1765413717.201869,4,3,7
1765413717.243963,1,0,13
1765413717.243963,2,16,2
1765413717.243963,3,4,2
1765413717.243963,4,3,7
1765413717.286465,1,0,13
1765413717.286465,2,16,2
1765413717.286465,3,4,2
1765413717.286465,4,3,7
1765413717.328833,1,0,13
1765413717.328833,2,16,2
1765413717.328833,3,4,2
1765413717.328833,4,3,7
1765413717.371888,1,0,13
1765413717.371888,2,16,2
1765413717.371888,3,4,2
1765413717.371888,4,3,7
1765413717.413951,1,0,13
1765413717.413951,2,16,2
1765413717.413951,3,4,2
1765413717.413951,4,3,8
1765413717.456269,1,0,13
1765413717.456269,2,16,2
1765413717.456269,3,4,2
1765413717.456269,4,3,8
1765413717.498800,1,0,13
1765413717.498800,2,16,2
1765413717.498800,3,4,2
1765413717.498800,4,3,8
1765413717.542175,1,0,13
1765413717.542175,2,16,2
1765413717.542175,3,4,2
1765413717.542175,4,3,8
1765413717.585936,1,0,13
1765413717.585936,2,16,2
1765413717.585936,3,4,2
1765413717.585936,4,3,8
1765413717.628191,1,0,13
1765413717.628191,2,16,2
1765413717.628191,3,4,2
1765413717.628191,4,3,8
1765413717.671274,1,0,13
1765413717.671274,2,16,2
1765413717.671274,3,4,2
1765413717.671274,4,3,8
1765413717.714345,1,0,13
1765413717.714345,2,16,2
1765413717.714345,3,4,2
1765413717.714345,4,3,8
1765413717.756285,1,0,13
1765413717.756285,2,16,2
1765413717.756285,3,4,2
1765413717.756285,4,3,8
1765413717.798747,1,0,13
1765413717.798747,2,16,2
1765413717.798747,3,4,2
1765413717.798747,4,3,8
1765413717.841775,1,0,13
1765413717.841775,2,16,2
1765413717.841775,3,4,2
1765413717.841775,4,3,8
1765413717.884123,1,0,13
1765413717.884123,2,16,2
1765413717.884123,3,4,2
1765413717.884123,4,3,8
1765413717.926343,1,0,13
1765413717.926343,2,16,2
1765413717.926343,3,4,2
1765413717.926343,4,3,8
1765413717.968511,1,0,13
1765413717.968511,2,16,2
1765413717.968511,3,4,2
1765413717.968511,4,3,8
1765413718.010839,1,0,13
1765413718.010839,2,16,2
1765413718.010839,3,4,2
1765413718.010839,4,3,8
1765413718.053189,1,0,13
1765413718.053189,2,16,2
1765413718.053189,3,4,2
1765413718.053189,4,3,8
1765413718.095364,1,0,13
1765413718.095364,2,16,2
1765413718.095364,3,4,2
1765413718.095364,4,3,8
1765413718.137476,1,0,13
1765413718.137476,2,16,2
1765413718.137476,3,4,2
1765413718.137476,4,3,8
1765413718.179382,1,0,13
1765413718.179382,2,16,2
1765413718.179382,3,4,2
1765413718.179382,4,3,8
1765413718.221232,1,1,13
1765413718.221232,2,16,2
1765413718.221232,3,4,2
1765413718.221232,4,3,8
1765413718.263725,1,1,13
1765413718.263725,2,16,2
1765413718.263725,3,4,2
1765413718.263725,4,3,8
1765413718.306134,1,1,13
1765413718.306134,2,17,2
1765413718.306134,3,4,2
1765413718.306134,4,3,8
1765413718.348420,1,1,13
1765413718.348420,2,17,2
1765413718.348420,3,4,2
1765413718.348420,4,3,8
1765413718.391048,1,1,13
1765413718.391048,2,17,2
1765413718.391048,3,4,2
1765413718.391048,4,3,8
1765413718.433422,1,1,13
1765413718.433422,2,17,2
1765413718.433422,3,4,2
1765413718.433422,4,3,8
1765413718.475175,1,1,13
1765413718.475175,2,17,2
1765413718.475175,3,4,2
1765413718.475175,4,3,8
1765413718.517525,1,1,13
1765413718.517525,2,17,2
1765413718.517525,3,4,2
1765413718.517525,4,3,8
1765413718.560301,1,1,13
1765413718.560301,2,17,2
1765413718.560301,3,4,2
1765413718.560301,4,3,8
1765413718.602309,1,1,13
1765413718.602309,2,17,2
1765413718.602309,3,4,2
1765413718.602309,4,3,8
1765413718.644432,1,1,13
1765413718.644432,2,17,2
1765413718.644432,3,4,2
1765413718.644432,4,3,8
1765413718.687715,1,1,13
1765413718.687715,2,17,2
1765413718.687715,3,5,2
1765413718.687715,4,3,8
1765413718.730179,1,1,13
1765413718.730179,2,17,2
1765413718.730179,3,5,2
1765413718.730179,4,3,8
1765413718.772331,1,1,13
1765413718.772331,2,17,2
1765413718.772331,3,5,2
1765413718.772331,4,3,8
1765413718.814995,1,1,13
1765413718.814995,2,17,2
1765413718.814995,3,5,2
1765413718.814995,4,3,8
1765413718.858139,1,1,13
1765413718.858139,2,17,2
1765413718.858139,3,5,2
1765413718.858139,4,3,8
1765413718.899810,1,1,13
1765413718.899810,2,17,2
1765413718.899810,3,5,2
1765413718.899810,4,3,8
1765413718.942131,1,1,13
1765413718.942131,2,17,2
1765413718.942131,3,5,2
1765413718.942131,4,3,8
1765413718.984838,1,1,12
1765413718.984838,2,17,2
1765413718.984838,3,5,2
1765413718.984838,4,4,8
1765413719.027097,1,1,12
1765413719.027097,2,17,2
1765413719.027097,3,5,2
1765413719.027097,4,4,8
1765413719.068992,1,1,12
1765413719.068992,2,17,1
1765413719.068992,3,5,2
1765413719.068992,4,4,8
1765413719.111356,1,1,12
1765413719.111356,2,17,1
1765413719.111356,3,5,2
1765413719.111356,4,4,8
1765413719.153597,1,1,12
1765413719.153597,2,17,1
1765413719.153597,3,5,2
1765413719.153597,4,4,8
1765413719.195427,1,1,12
1765413719.195427,2,17,1
1765413719.195427,3,5,2
1765413719.195427,4,4,8
1765413719.237457,1,1,12
1765413719.237457,2,17,1
1765413719.237457,3,5,2
1765413719.237457,4,4,8
1765413719.279692,1,1,12
1765413719.279692,2,17,1
1765413719.279692,3,5,2
1765413719.279692,4,4,8
1765413719.322464,1,1,12
1765413719.322464,2,17,1
1765413719.322464,3,5,2
1765413719.322464,4,4,8
1765413719.365336,1,1,12
1765413719.365336,2,17,1
1765413719.365336,3,5,2
1765413719.365336,4,4,8
1765413719.408114,1,1,12
1765413719.408114,2,17,1
1765413719.408114,3,5,2
1765413719.408114,4,4,8
1765413719.449874,1,1,12
1765413719.449874,2,17,1
1765413719.449874,3,5,1
1765413719.449874,4,4,8
1765413719.492863,1,1,12
1765413719.492863,2,17,1
1765413719.492863,3,5,1
1765413719.492863,4,4,8
1765413719.534570,1,1,12
1765413719.534570,2,17,1
1765413719.534570,3,5,1
1765413719.534570,4,4,8
1765413719.576580,1,1,12
1765413719.576580,2,17,1
1765413719.576580,3,5,1
1765413719.576580,4,4,8
1765413719.618767,1,1,12
1765413719.618767,2,17,1
1765413719.618767,3,5,1
1765413719.618767,4,4,8
1765413719.661024,1,1,12
1765413719.661024,2,17,1
1765413719.661024,3,5,1
1765413719.661024,4,4,8
1765413719.703098,1,0,12
1765413719.703098,2,17,1
1765413719.703098,3,5,1
1765413719.703098,4,4,8
1765413719.746118,1,0,12
1765413719.746118,2,17,1
1765413719.746118,3,5,1
1765413719.746118,4,4,7
1765413719.788524,1,0,12
1765413719.788524,2,16,1
1765413719.788524,3,5,1
1765413719.788524,4,4,7
1765413719.830367,1,0,12
1765413719.830367,2,16,1
1765413719.830367,3,5,1
1765413719.830367,4,4,7
1765413719.872449,1,0,12
1765413719.872449,2,16,1
1765413719.872449,3,5,1
1765413719.872449,4,4,7
1765413719.915088,1,0,12
1765413719.915088,2,16,1
1765413719.915088,3,5,1
1765413719.915088,4,4,7
1765413719.956709,1,0,12
1765413719.956709,2,16,1
1765413719.956709,3,5,1
1765413719.956709,4,4,7
1765413719.998598,1,0,12
1765413719.998598,2,16,1
1765413719.998598,3,5,1
1765413719.998598,4,4,7
1765413720.040941,1,0,12
1765413720.040941,2,16,1
1765413720.040941,3,5,1
1765413720.040941,4,4,7
1765413720.117965,1,0,12
1765413720.117965,2,16,1
1765413720.117965,3,5,1
1765413720.117965,4,4,7
1765413720.161297,1,0,12
1765413720.161297,2,16,1
1765413720.161297,3,5,1
1765413720.161297,4,4,7
