timestamp,client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1766621370.383928,4,646,63,1766621370382,1766621370383,1,9.26,0.0000,0.0,0.00
1766621370.411219,4,647,64,1766621370406,1766621370410,4,8.95,0.0000,0.0,0.00
1766621370.427661,4,648,65,1766621370427,1766621370427,0,8.60,0.0000,0.0,0.00
1766621370.449924,4,649,66,1766621370448,1766621370448,0,8.21,0.0000,0.0,0.00
1766621370.473060,4,650,67,1766621370470,1766621370473,3,7.85,0.0000,0.0,0.00
1766621370.492790,4,651,68,1766621370492,1766621370492,0,7.47,0.0000,0.0,0.00
1766621370.515831,4,652,69,1766621370515,1766621370515,0,7.09,0.0000,0.0,0.00
1766621370.538357,4,653,70,1766621370536,1766621370537,1,6.73,0.0000,0.0,0.00
1766621370.559415,4,654,71,1766621370559,1766621370559,0,6.43,0.0000,0.0,0.00
1766621370.582158,4,655,72,1766621370581,1766621370581,0,6.11,0.0000,0.0,0.00
1766621370.606264,4,656,73,1766621370603,1766621370606,3,4.53,0.0000,0.0,0.00
1766621370.625866,4,657,74,1766621370625,1766621370625,0,4.11,0.0000,0.0,0.00
1766621370.649104,4,658,75,1766621370649,1766621370649,0,3.69,0.0000,0.0,0.00
1766621370.673376,4,659,76,1766621370672,1766621370672,0,3.27,0.0000,0.0,0.00
1766621370.693884,4,660,77,1766621370693,1766621370693,0,2.92,0.0000,0.0,0.00
1766621370.716383,4,661,78,1766621370715,1766621370715,0,2.59,0.0000,0.0,0.00
1766621370.737566,4,662,79,1766621370737,1766621370737,0,2.58,0.0000,0.0,0.00
1766621370.760684,4,663,80,1766621370760,1766621370760,0,2.33,0.0000,0.0,0.00
1766621370.786380,4,664,81,1766621370781,1766621370786,5,2.42,0.0000,0.0,0.00
1766621370.803540,4,665,82,1766621370803,1766621370803,0,2.41,0.0000,0.0,0.00
1766621370.825697,4,666,83,1766621370825,1766621370825,0,2.39,0.0000,0.0,0.00
1766621370.847326,4,667,84,1766621370847,1766621370847,0,2.38,0.0000,0.0,0.00
1766621370.871667,4,668,85,1766621370870,1766621370870,0,2.27,0.0000,0.0,0.00
1766621370.892781,4,669,86,1766621370892,1766621370892,0,2.21,0.0000,0.0,0.00
1766621370.914489,4,670,87,1766621370914,1766621370914,0,2.19,0.0000,0.0,0.00
1766621370.936227,4,671,88,1766621370936,1766621370936,0,2.17,0.0000,0.0,0.00
1766621370.958103,4,672,89,1766621370958,1766621370958,0,2.14,0.0000,0.0,0.00
1766621370.988048,4,673,90,1766621370980,1766621370988,8,2.32,0.0000,0.0,0.00
1766621371.003911,4,674,91,1766621371003,1766621371003,0,2.33,0.0000,0.0,0.00
1766621371.026088,4,675,92,1766621371026,1766621371026,0,2.30,0.0000,0.0,0.00
1766621371.053379,4,676,93,1766621371047,1766621371052,5,2.39,0.0000,0.0,0.00
1766621371.071271,4,677,94,1766621371071,1766621371071,0,2.34,0.0000,0.0,0.00
1766621371.094411,4,678,95,1766621371094,1766621371094,0,2.32,0.0000,0.0,0.00
1766621371.118005,4,679,96,1766621371116,1766621371118,2,2.35,0.0000,0.0,0.00
1766621371.138356,4,680,97,1766621371138,1766621371138,0,2.29,0.0000,0.0,0.00
1766621371.160251,4,681,98,1766621371160,1766621371160,0,2.26,0.0000,0.0,0.00
1766621371.182452,4,682,99,1766621371181,1766621371181,0,2.26,0.0000,0.0,0.00
1766621371.204288,4,683,100,1766621371203,1766621371203,0,2.26,0.0000,0.0,0.00
1766621371.226542,4,684,101,1766621371225,1766621371225,0,2.26,0.0000,0.0,0.00
1766621371.253639,4,685,102,1766621371249,1766621371253,4,2.37,0.0000,0.0,0.00
1766621371.272972,4,686,104,1766621371272,1766621371272,0,2.30,0.0000,0.0,0.00
1766621371.301567,4,687,105,1766621371296,1766621371301,5,2.42,0.0000,0.0,0.00
1766621371.318974,4,688,106,1766621371317,1766621371317,0,2.48,0.0000,0.0,0.00
1766621371.342029,4,689,107,1766621371341,1766621371342,1,2.40,0.0000,0.0,0.00
1766621371.365030,4,690,108,1766621371363,1766621371365,2,2.34,0.0000,0.0,0.00
1766621371.386925,4,691,109,1766621371386,1766621371386,0,2.34,0.0000,0.0,0.00
1766621371.407579,4,692,110,1766621371407,1766621371407,0,2.34,0.0000,0.0,0.00
1766621371.432133,4,693,111,1766621371430,1766621371431,1,2.37,0.0000,0.0,0.00
1766621371.452466,4,694,113,1766621371452,1766621371452,0,2.38,0.0000,0.0,0.00
1766621371.481061,4,695,115,1766621371478,1766621371481,3,2.36,0.0000,0.0,0.00
1766621371.501661,4,696,116,1766621371500,1766621371501,1,2.31,0.0000,0.0,0.00
1766621371.523402,4,697,117,1766621371523,1766621371523,0,2.30,0.0000,0.0,0.00
1766621371.550379,4,698,118,1766621371545,1766621371550,5,2.26,0.0000,0.0,0.00
1766621371.567547,4,699,119,1766621371567,1766621371567,0,2.27,0.0000,0.0,0.00
1766621371.589326,4,700,120,1766621371589,1766621371589,0,2.26,0.0000,0.0,0.00
1766621371.613657,4,701,121,1766621371611,1766621371612,1,2.24,0.0000,0.0,0.00
1766621371.634099,4,702,122,1766621371632,1766621371632,0,2.22,0.0000,0.0,0.00
1766621371.655092,4,703,123,1766621371655,1766621371655,0,2.22,0.0000,0.0,0.00
1766621371.685348,4,704,125,1766621371677,1766621371685,8,2.28,0.0000,0.0,0.00
1766621371.699920,4,705,126,1766621371699,1766621371699,0,2.36,0.0000,0.0,0.00
1766621371.723874,4,706,127,1766621371722,1766621371723,1,2.39,0.0000,0.0,0.00
1766621371.750461,4,707,128,1766621371746,1766621371750,4,2.39,0.0000,0.0,0.00
1766621371.768417,4,708,129,1766621371768,1766621371768,0,2.38,0.0000,0.0,0.00
1766621371.789791,4,709,130,1766621371789,1766621371789,0,2.38,0.0000,0.0,0.00
1766621371.813907,4,710,131,1766621371811,1766621371813,2,2.36,0.0000,0.0,0.00
1766621371.834841,4,711,132,1766621371834,1766621371834,0,2.33,0.0000,0.0,0.00
