timestamp,client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,perceived_position_error,cpu_percent,bandwidth_per_client_kbps
1765415317.559874,1,213,1,1765415317328,1765415317559,231,0.00,0.0000,0.0,0.00
1765415317.560879,1,214,2,1765415317349,1765415317560,211,0.00,0.0000,0.0,0.00
1765415317.560879,1,215,3,1765415317370,1765415317560,190,0.50,0.0000,0.0,0.00
1765415317.560879,1,216,4,1765415317392,1765415317560,168,0.44,0.0000,0.0,0.00
1765415317.560879,1,217,5,1765415317413,1765415317560,147,0.38,0.0000,0.0,0.00
1765415317.560879,1,218,6,1765415317433,1765415317560,127,0.32,0.0000,0.0,0.00
1765415317.560879,1,219,7,1765415317455,1765415317560,105,0.28,0.0000,0.0,0.00
1765415317.560879,1,220,8,1765415317476,1765415317560,84,0.24,0.0000,0.0,0.00
1765415317.560879,1,221,9,1765415317497,1765415317560,63,0.22,0.0000,0.0,0.00
1765415317.562609,1,222,10,1765415317518,1765415317562,44,0.52,0.0000,0.0,0.00
1765415317.562609,1,223,11,1765415317539,1765415317562,23,0.48,0.0000,0.0,0.00
1765415317.563117,1,224,12,1765415317560,1765415317563,3,0.53,0.0000,0.0,0.00
1765415317.682417,1,225,13,1765415317581,1765415317682,101,18.12,0.0000,0.0,0.00
1765415317.682417,1,226,14,1765415317602,1765415317682,80,16.85,0.0000,0.0,0.00
1765415317.682417,1,227,15,1765415317623,1765415317682,59,15.74,0.0000,0.0,0.00
1765415317.682417,1,228,16,1765415317645,1765415317682,37,14.77,0.0000,0.0,0.00
1765415317.683540,1,229,17,1765415317666,1765415317682,16,13.91,0.0000,0.0,0.00
1765415317.690901,1,230,18,1765415317688,1765415317690,2,13.13,0.0000,0.0,0.00
1765415317.712720,1,231,20,1765415317709,1765415317712,3,13.78,0.0000,0.0,0.00
1765415317.741194,1,232,21,1765415317730,1765415317736,6,14.43,0.0000,0.0,0.00
1765415317.752203,1,233,22,1765415317751,1765415317751,0,14.16,0.0000,0.0,0.00
1765415317.773162,1,234,23,1765415317772,1765415317772,0,14.31,0.0000,0.0,0.00
1765415317.795234,1,235,25,1765415317794,1765415317795,1,14.51,0.0000,0.0,0.00
1765415317.815664,1,236,26,1765415317815,1765415317815,0,14.44,0.0000,0.0,0.00
1765415317.838026,1,237,27,1765415317838,1765415317838,0,14.50,0.0000,0.0,0.00
1765415317.865016,1,238,28,1765415317859,1765415317863,4,14.60,0.0000,0.0,0.00
1765415317.881004,1,239,29,1765415317880,1765415317881,1,14.32,0.0000,0.0,0.00
1765415317.901828,1,240,30,1765415317901,1765415317901,0,14.12,0.0000,0.0,0.00
1765415317.924202,1,241,31,1765415317924,1765415317924,0,14.04,0.0000,0.0,0.00
1765415317.947062,1,242,32,1765415317945,1765415317947,2,13.94,0.0000,0.0,0.00
1765415317.966213,1,243,33,1765415317966,1765415317966,0,13.67,0.0000,0.0,0.00
1765415317.987097,1,244,34,1765415317987,1765415317987,0,13.48,0.0000,0.0,0.00
1765415318.009239,1,245,35,1765415318008,1765415318009,1,13.31,0.0000,0.0,0.00
1765415318.029078,1,246,36,1765415318029,1765415318029,0,13.08,0.0000,0.0,0.00
1765415318.050402,1,247,37,1765415318050,1765415318050,0,12.89,0.0000,0.0,0.00
1765415318.072370,1,248,38,1765415318072,1765415318072,0,12.72,0.0000,0.0,0.00
1765415318.096284,1,249,39,1765415318093,1765415318096,3,12.59,0.0000,0.0,0.00
1765415318.114884,1,250,40,1765415318114,1765415318114,0,12.32,0.0000,0.0,0.00
1765415318.136183,1,251,41,1765415318136,1765415318136,0,12.16,0.0000,0.0,0.00
1765415318.157418,1,252,42,1765415318157,1765415318157,0,11.98,0.0000,0.0,0.00
1765415318.198781,1,253,43,1765415318193,1765415318198,5,12.23,0.0000,0.0,0.00
1765415318.215422,1,254,44,1765415318215,1765415318215,0,11.95,0.0000,0.0,0.00
1765415318.236473,1,255,45,1765415318236,1765415318236,0,11.76,0.0000,0.0,0.00
1765415318.258106,1,256,46,1765415318258,1765415318258,0,11.60,0.0000,0.0,0.00
1765415318.279794,1,257,47,1765415318279,1765415318279,0,11.42,0.0000,0.0,0.00
1765415318.300514,1,258,48,1765415318300,1765415318300,0,11.24,0.0000,0.0,0.00
1765415318.321463,1,259,49,1765415318321,1765415318321,0,11.07,0.0000,0.0,0.00
1765415318.342808,1,260,50,1765415318342,1765415318342,0,10.90,0.0000,0.0,0.00
1765415318.365969,1,261,51,1765415318364,1765415318365,1,10.77,0.0000,0.0,0.00
1765415318.386337,1,262,52,1765415318386,1765415318386,0,10.61,0.0000,0.0,0.00
1765415318.407944,1,263,53,1765415318407,1765415318407,0,10.45,0.0000,0.0,0.00
1765415318.435306,1,264,54,1765415318429,1765415318434,5,10.39,0.0000,0.0,0.00
1765415318.450833,1,265,55,1765415318450,1765415318450,0,10.21,0.0000,0.0,0.00
1765415318.516264,1,266,56,1765415318516,1765415318516,0,10.69,0.0000,0.0,0.00
1765415318.543644,1,267,57,1765415318536,1765415318543,7,10.62,0.0000,0.0,0.00
1765415318.568632,1,268,58,1765415318559,1765415318568,9,10.52,0.0000,0.0,0.00
1765415318.587254,1,269,59,1765415318582,1765415318587,5,10.34,0.0000,0.0,0.00
1765415318.606057,1,270,60,1765415318606,1765415318606,0,10.17,0.0000,0.0,0.00
