time,snapshot_id,player_id,server_row,server_col,display_row,display_col
1765404068.241548,78,1,0,12,0,12
1765404068.260909,79,1,0,12,0,12
1765404068.276625,79,1,0,12,0,12
1765404068.291236,79,1,0,12,0,12
1765404068.307867,80,1,0,12,0,12
1765404068.324903,80,1,0,12,0,12
1765404068.342463,81,1,0,12,0,12
1765404068.358531,81,1,0,12,0,12
1765404068.375232,81,1,0,12,0,12
1765404068.391890,82,1,0,12,0,12
1765404068.409048,82,1,0,12,0,12
1765404068.425593,83,1,0,12,0,12
1765404068.442314,83,1,0,12,0,12
1765404068.459149,83,1,0,12,0,12
1765404068.475574,84,1,0,12,0,12
1765404068.491864,84,1,0,12,0,12
1765404068.508291,85,1,0,12,0,12
1765404068.524841,85,1,0,12,0,12
1765404068.541571,85,1,0,12,0,12
1765404068.557693,86,1,0,12,0,12
1765404068.574249,86,1,0,12,0,12
1765404068.591163,87,1,0,12,0,12
1765404068.607576,87,1,0,12,0,12
1765404068.624063,87,1,0,12,0,12
1765404068.641141,88,1,0,12,0,12
1765404068.657523,88,1,0,12,0,12
1765404068.673163,89,1,0,12,0,12
1765404068.689253,89,1,0,12,0,12
1765404068.705785,89,1,0,12,0,12
1765404068.722933,90,1,0,12,0,12
1765404068.739605,90,1,0,12,0,12
1765404068.755489,91,1,0,12,0,12
1765404068.772018,91,1,0,12,0,12
1765404068.788687,91,1,0,12,0,12
1765404068.805866,92,1,0,12,0,12
1765404068.823183,92,1,0,12,0,12
1765404068.840401,93,1,0,12,0,12
1765404068.855910,93,1,0,12,0,12
1765404068.872168,93,1,0,12,0,12
1765404068.889098,94,1,0,12,0,12
1765404068.906142,94,1,0,12,0,12
1765404068.922623,94,1,0,12,0,12
1765404068.939157,95,1,0,12,0,12
1765404068.955227,95,1,0,12,0,12
1765404068.972298,95,1,0,12,0,12
1765404068.988386,95,1,0,12,0,12
1765404069.004443,95,1,0,12,0,12
1765404069.020017,96,1,0,12,0,12
1765404069.036848,96,1,0,12,0,12
1765404069.054421,96,1,0,12,0,12
1765404069.071066,96,1,0,12,0,12
1765404069.087197,97,1,0,12,0,12
1765404069.103286,98,1,0,12,0,12
1765404069.119911,98,1,0,12,0,12
1765404069.136376,98,1,0,12,0,12
1765404069.152607,99,1,0,12,0,12
1765404069.169041,99,1,0,12,0,12
1765404069.186140,100,1,0,12,0,12
1765404069.203290,100,1,0,12,0,12
1765404069.219587,100,1,0,12,0,12
1765404069.235693,101,1,0,12,0,12
1765404069.252928,101,1,0,12,0,12
1765404069.269535,102,1,0,12,0,12
1765404069.286343,102,1,0,12,0,12
1765404069.302973,102,1,0,12,0,12
1765404069.319127,103,1,0,12,0,12
1765404069.336338,103,1,0,12,0,12
1765404069.352890,103,1,0,12,0,12
1765404069.369955,104,1,0,12,0,12
1765404069.387027,104,1,0,12,0,12
1765404069.403654,105,1,0,12,0,12
1765404069.419856,105,1,0,12,0,12
1765404069.436585,105,1,0,12,0,12
1765404069.451981,106,1,0,12,0,12
1765404069.468115,106,1,0,12,0,12
1765404069.484518,107,1,0,12,0,12
1765404069.501733,107,1,0,12,0,12
1765404069.518424,107,1,0,12,0,12
1765404069.535843,108,1,0,12,0,12
1765404069.552972,108,1,0,12,0,12
1765404069.569355,109,1,0,12,0,12
1765404069.585419,109,1,0,12,0,12
1765404069.602766,110,1,0,12,0,12
1765404069.619728,110,1,0,12,0,12
1765404069.637299,110,1,0,12,0,12
1765404069.653166,111,1,0,12,0,12
1765404069.669732,111,1,0,12,0,12
