time,snapshot_id,player_id,server_row,server_col,display_row,display_col
1766621367.371899,515,3,18,5,18,5
1766621367.385411,516,3,18,5,18,5
1766621367.402947,517,3,18,5,18,5
1766621367.418761,517,3,18,5,18,5
1766621367.434941,518,3,17,5,17,5
1766621367.451529,519,3,17,5,17,5
1766621367.468715,520,3,17,5,17,5
1766621367.485555,520,3,17,5,17,5
1766621367.501427,521,3,16,5,16,5
1766621367.543828,521,3,16,5,16,5
1766621367.573467,521,3,16,5,16,5
1766621367.602062,521,3,16,5,16,5
1766621367.623176,521,3,16,5,16,5
1766621367.639748,522,3,16,6,16,6
1766621367.655923,523,3,15,6,15,6
1766621367.672681,524,3,15,6,15,6
1766621367.688951,524,3,15,6,15,6
1766621367.705582,525,3,15,6,15,6
1766621367.723121,526,3,15,6,15,6
1766621367.740229,527,3,15,7,15,7
1766621367.757607,527,3,15,7,15,7
1766621367.774272,527,3,15,7,15,7
1766621367.791001,528,3,15,7,15,7
1766621367.808584,529,3,15,7,15,7
1766621367.824518,530,3,15,6,15,6
1766621367.848030,530,3,15,6,15,6
1766621367.865549,531,3,15,6,15,6
1766621367.882046,532,3,15,5,15,5
1766621367.899802,533,3,15,5,15,5
1766621367.915822,533,3,15,5,15,5
1766621367.931690,534,3,15,5,15,5
1766621367.947692,535,3,15,5,15,5
1766621367.963315,536,3,14,5,14,5
1766621367.979168,536,3,14,5,14,5
1766621367.995604,537,3,14,5,14,5
1766621368.012120,538,3,14,5,14,5
1766621368.029043,539,3,14,5,14,5
1766621368.045753,539,3,14,5,14,5
1766621368.062279,540,3,14,6,14,6
1766621368.079218,541,3,14,6,14,6
1766621368.096901,542,3,14,6,14,6
1766621368.112657,543,3,14,5,14,5
1766621368.129538,543,3,14,5,14,5
1766621368.145274,544,3,14,5,14,5
1766621368.162002,545,3,14,5,14,5
1766621368.179167,546,3,13,5,13,5
1766621368.196664,546,3,13,5,13,5
1766621368.213416,547,3,13,5,13,5
1766621368.230357,548,3,13,5,13,5
1766621368.247725,549,3,13,5,13,5
1766621368.263772,549,3,13,5,13,5
1766621368.280307,550,3,12,5,12,5
1766621368.297153,551,3,12,5,12,5
1766621368.314236,552,3,12,5,12,5
1766621368.332183,553,3,12,5,12,5
1766621368.348945,553,3,12,5,12,5
1766621368.364817,554,3,12,5,12,5
1766621368.381222,555,3,12,6,12,6
1766621368.398644,555,3,12,6,12,6
1766621368.416295,556,3,12,6,12,6
1766621368.432894,557,3,12,6,12,6
1766621368.449216,558,3,12,5,12,5
1766621368.466133,558,3,12,5,12,5
1766621368.483232,559,3,12,5,12,5
1766621368.499822,560,3,12,4,12,4
1766621368.516049,561,3,12,4,12,4
1766621368.534021,561,3,12,4,12,4
1766621368.550211,562,3,12,4,12,4
1766621368.567786,563,3,12,4,12,4
1766621368.583585,564,3,11,4,11,4
1766621368.599787,564,3,11,4,11,4
1766621368.615873,565,3,11,4,11,4
1766621368.631787,566,3,11,4,11,4
1766621368.647593,567,3,11,4,11,4
1766621368.663777,567,3,11,4,11,4
1766621368.680397,568,3,12,4,12,4
1766621368.697394,569,3,12,4,12,4
1766621368.713551,570,3,12,4,12,4
1766621368.729861,570,3,12,4,12,4
1766621368.746564,571,3,13,4,13,4
1766621368.763038,572,3,13,4,13,4
1766621368.780125,573,3,13,4,13,4
1766621368.796679,574,3,13,4,13,4
1766621368.813022,574,3,13,4,13,4
1766621368.830141,575,3,12,4,12,4
1766621368.846688,576,3,12,4,12,4
1766621368.862718,577,3,12,4,12,4
1766621368.878797,577,3,12,4,12,4
1766621368.894828,578,3,12,3,12,3
1766621368.911913,579,3,12,3,12,3
1766621368.928530,580,3,12,3,12,3
1766621368.945098,580,3,12,3,12,3
1766621368.962276,581,3,12,2,12,2
1766621368.979352,582,3,12,2,12,2
1766621368.995896,583,3,12,2,12,2
1766621369.012946,583,3,12,2,12,2
1766621369.029507,584,3,12,3,12,3
1766621369.046068,585,3,12,3,12,3
1766621369.062806,585,3,12,3,12,3
1766621369.079448,586,3,12,2,12,2
1766621369.096613,587,3,12,2,12,2
1766621369.113070,588,3,12,2,12,2
1766621369.130190,589,3,12,2,12,2
