client_id,snapshot_id,seq_num,server_timestamp,recv_time,latency,jitter
2,162,162,1765321069292,1765321069292,0,0.00088543891906738
2,163,163,1765321069343,1765321069343,0,0.0007240295410156222
2,164,164,1765321069393,1765321069393,0,0.0004782199859619113
2,165,165,1765321069444,1765321069444,0,0.0012866973876953097
2,166,166,1765321069496,1765321069496,0,0.0011357784271240207
2,167,167,1765321069546,1765321069546,0,0.0006246089935302707
2,168,168,1765321069597,1765321069597,0,0.000688743591308591
2,169,169,1765321069647,1765321069647,0,0.00047464370727538785
2,170,170,1765321069698,1765321069698,0,0.0007545471191406222
2,171,171,1765321069749,1765321069749,0,0.0012945652008056613
2,172,172,1765321069800,1765321069803,3,0.0039827346801757785
2,173,173,1765321069851,1765321069853,2,0.00027995109558105746
2,174,174,1765321069902,1765321069902,0,0.0008190155029296903
2,175,175,1765321069955,1765321069955,0,0.0017146587371826144
2,176,176,1765321070006,1765321070006,0,0.039551067352294925
2,177,177,1765321070056,1765321070056,0,0.0007373809814453097
2,178,178,1765321070107,1765321070107,0,0.0004317283630371066
2,179,179,1765321070158,1765321070158,0,0.0008370399475097628
2,180,180,1765321070208,1765321070208,0,0.0006443977355957003
2,181,181,1765321070260,1765321070260,0,0.0014740943908691378
2,182,182,1765321070310,1765321070310,0,0.0007376194000244113
2,183,183,1765321070361,1765321070361,0,0.0006305694580078097
2,184,184,1765321070412,1765321070412,0,0.0009016513824462863
2,185,185,1765321070463,1765321070463,0,0.0007106781005859347
2,186,186,1765321070514,1765321070514,0,0.0010733127593994113
2,187,187,1765321070565,1765321070569,4,0.005109977722167966
2,188,188,1765321070616,1765321070618,2,0.009132194519042972
2,189,189,1765321070667,1765321070668,1,0.0007831573486328097
2,190,190,1765321070717,1765321070717,0,0.0009160518646240262
2,191,191,1765321070770,1765321070770,0,0.00205273628234863
2,192,192,1765321070820,1765321070820,0,0.0004627227783203097
2,193,193,1765321070871,1765321070871,0,0.0007643222808837863
2,194,194,1765321070922,1765321070922,0,0.0008654117584228488
2,195,195,1765321070973,1765321070973,0,0.001342725753784177
2,196,196,1765321071024,1765321071024,0,0.0008751869201660128
2,197,197,1765321071075,1765321071075,0,0.0007664680480957003
2,198,198,1765321071126,1765321071126,0,0.001208019256591794
2,199,199,1765321071257,1765321071257,0,0.08121962547302246
2,200,200,1765321071309,1765321071309,0,0.0019130229949951144
2,201,201,1765321071360,1765321071360,0,0.001054954528808591
2,202,202,1765321071410,1765321071410,0,0.00040526390075683316
2,203,203,1765321071462,1765321071462,0,0.0015823364257812472
2,204,204,1765321071513,1765321071513,0,0.000637483596801755
2,205,205,1765321071563,1765321071563,0,0.0006646633148193332
2,206,206,1765321071614,1765321071614,0,0.032596158981323245
2,207,207,1765321071664,1765321071664,0,0.0004736900329589816
2,208,208,1765321071715,1765321071718,3,0.003290843963623044
2,209,209,1765321071766,1765321071766,0,0.0017157077789306668
2,210,210,1765321071817,1765321071818,1,0.0018510341644287082
2,211,211,1765321071869,1765321071869,0,0.0006284236907958957
2,212,212,1765321071919,1765321071919,0,0.0006076812744140597
2,213,213,1765321071970,1765321071970,0,0.0008995056152343722
2,214,214,1765321072021,1765321072021,0,0.0008992671966552707
2,215,215,1765321072071,1765321072071,0,0.0004019260406494113
