time,snapshot_id,player_id,server_row,server_col,display_row,display_col
1765621821.863670,236,2,3,13,3,13
1765621821.881678,236,2,3,13,3,13
1765621821.930717,238,2,3,13,3,13
1765621821.979241,239,2,3,13,3,13
1765621821.993512,239,2,3,13,3,13
1765621822.009386,239,2,3,13,3,13
1765621822.025906,240,2,3,13,3,13
1765621822.042590,240,2,3,13,3,13
1765621822.058868,241,2,3,13,3,13
1765621822.075056,241,2,3,13,3,13
1765621822.091463,241,2,3,13,3,13
1765621822.107977,242,2,3,13,3,13
1765621822.124605,242,2,3,13,3,13
1765621822.140496,243,2,3,13,3,13
1765621822.157538,243,2,3,13,3,13
1765621822.174071,243,2,3,13,3,13
1765621822.190460,244,2,3,13,3,13
1765621822.207393,244,2,3,13,3,13
1765621822.223041,244,2,3,13,3,13
1765621822.240175,245,2,3,13,3,13
1765621822.256455,245,2,3,13,3,13
1765621822.273306,246,2,3,13,3,13
1765621822.290524,246,2,3,13,3,13
1765621822.306657,246,2,3,13,3,13
1765621822.322832,247,2,3,13,3,13
1765621822.340235,247,2,3,13,3,13
1765621822.357581,248,2,3,13,3,13
1765621822.374220,248,2,3,13,3,13
1765621822.391191,248,2,3,13,3,13
1765621822.407815,249,2,3,13,3,13
1765621822.424237,249,2,3,13,3,13
1765621822.441711,250,2,3,13,3,13
1765621822.457769,250,2,3,13,3,13
1765621822.474771,250,2,3,13,3,13
1765621822.491723,251,2,3,13,3,13
1765621822.508686,251,2,3,13,3,13
1765621822.524559,252,2,3,13,3,13
1765621822.540277,252,2,3,13,3,13
1765621822.557135,252,2,3,13,3,13
1765621822.573287,253,2,3,13,3,13
1765621822.589965,253,2,3,13,3,13
1765621822.607254,254,2,3,13,3,13
1765621822.624686,254,2,3,13,3,13
1765621822.641612,254,2,3,13,3,13
1765621822.661129,255,2,3,13,3,13
1765621822.676633,255,2,3,13,3,13
1765621822.690432,256,2,3,13,3,13
1765621822.706767,256,2,3,13,3,13
1765621822.724463,256,2,3,13,3,13
1765621822.740898,257,2,3,13,3,13
1765621822.758098,257,2,3,13,3,13
1765621822.776217,258,2,3,13,3,13
1765621822.793359,258,2,3,13,3,13
1765621822.810971,259,2,3,13,3,13
1765621822.829261,259,2,3,13,3,13
1765621822.846738,259,2,3,13,3,13
1765621822.861823,260,2,3,13,3,13
1765621822.878555,260,2,3,13,3,13
1765621822.896634,261,2,3,13,3,13
1765621822.913190,261,2,3,13,3,13
1765621822.929397,261,2,3,13,3,13
1765621822.946267,262,2,3,13,3,13
1765621822.962096,262,2,3,13,3,13
1765621822.979613,262,2,3,13,3,13
1765621822.995904,263,2,3,13,3,13
1765621823.012872,263,2,3,13,3,13
1765621823.029123,264,2,3,13,3,13
1765621823.045282,264,2,3,13,3,13
1765621823.062125,265,2,3,13,3,13
1765621823.078262,265,2,3,13,3,13
1765621823.095073,265,2,3,13,3,13
1765621823.112322,266,2,3,13,3,13
1765621823.129174,266,2,3,13,3,13
1765621823.145258,267,2,3,13,3,13
1765621823.162773,267,2,3,13,3,13
1765621823.177568,267,2,3,13,3,13
1765621823.193110,268,2,3,13,3,13
1765621823.209906,268,2,3,13,3,13
1765621823.226847,268,2,3,13,3,13
1765621823.243761,269,2,3,13,3,13
1765621823.259563,269,2,3,13,3,13
1765621823.276123,270,2,3,13,3,13
1765621823.293660,270,2,3,13,3,13
1765621823.308970,270,2,3,13,3,13
1765621823.327092,271,2,3,13,3,13
1765621823.344434,271,2,3,13,3,13
1765621823.360983,272,2,3,13,3,13
1765621823.377626,272,2,3,13,3,13
1765621823.394093,272,2,3,13,3,13
1765621823.410634,273,2,3,13,3,13
1765621823.426403,273,2,3,13,3,13
1765621823.442592,274,2,3,13,3,13
1765621823.459456,274,2,3,13,3,13
1765621823.475972,274,2,3,13,3,13
1765621823.492929,275,2,3,13,3,13
1765621823.509858,275,2,3,13,3,13
1765621823.526681,276,2,3,13,3,13
1765621823.542867,276,2,3,13,3,13
1765621823.560356,276,2,3,13,3,13
1765621823.577564,277,2,3,13,3,13
1765621823.593960,277,2,3,13,3,13
1765621823.611424,278,2,3,13,3,13
1765621823.628375,278,2,3,13,3,13
1765621823.644723,278,2,3,13,3,13
1765621823.660934,279,2,3,13,3,13
1765621823.677707,279,2,3,13,3,13
1765621823.694593,280,2,3,13,3,13
1765621823.711110,280,2,3,13,3,13
1765621823.727643,280,2,3,13,3,13
1765621823.744283,281,2,3,13,3,13
1765621823.759936,281,2,3,13,3,13
1765621823.776898,282,2,3,13,3,13
1765621823.794672,282,2,3,13,3,13
1765621823.811477,282,2,3,13,3,13
1765621823.827925,283,2,3,13,3,13
1765621823.844754,283,2,3,13,3,13
1765621823.861413,284,2,3,13,3,13
1765621823.878162,284,2,3,13,3,13
1765621823.895830,284,2,3,13,3,13
1765621823.913228,285,2,3,13,3,13
1765621823.931189,285,2,3,13,3,13
1765621823.946348,286,2,3,13,3,13
1765621823.963678,286,2,3,13,3,13
1765621823.979640,286,2,3,13,3,13
1765621823.996067,287,2,3,13,3,13
1765621824.013110,287,2,3,13,3,13
1765621824.030406,288,2,3,13,3,13
1765621824.046180,288,2,3,13,3,13
1765621824.062517,288,2,3,13,3,13
1765621824.079123,289,2,3,13,3,13
1765621824.095403,289,2,3,13,3,13
1765621824.112198,289,2,3,13,3,13
1765621824.129249,290,2,3,13,3,13
1765621824.145233,290,2,3,13,3,13
1765621824.162762,291,2,3,13,3,13
1765621824.179323,291,2,3,13,3,13
1765621824.196005,291,2,3,13,3,13
1765621824.213139,292,2,3,13,3,13
1765621824.229819,292,2,3,13,3,13
1765621824.247718,293,2,3,13,3,13
1765621824.263787,293,2,3,13,3,13
1765621824.280374,293,2,3,13,3,13
1765621824.296905,294,2,3,13,3,13
1765621824.314126,294,2,3,13,3,13
1765621824.331177,295,2,3,13,3,13
1765621824.348216,295,2,3,13,3,13
1765621824.364671,295,2,3,13,3,13
1765621824.381347,296,2,3,13,3,13
1765621824.397267,296,2,3,13,3,13
1765621824.414114,297,2,3,13,3,13
1765621824.431270,297,2,3,13,3,13
1765621824.448095,297,2,3,13,3,13
1765621824.464066,298,2,3,13,3,13
1765621824.481079,298,2,3,13,3,13
1765621824.497996,299,2,3,13,3,13
1765621824.514542,299,2,3,13,3,13
1765621824.530789,299,2,3,13,3,13
1765621824.547435,300,2,3,13,3,13
1765621824.564947,300,2,3,13,3,13
1765621824.581429,301,2,3,14,3,14
1765621824.597829,301,2,3,14,3,14
1765621824.615093,302,2,3,14,3,14
1765621824.631968,302,2,3,14,3,14
1765621824.649750,302,2,3,14,3,14
1765621824.665958,303,2,3,14,3,14
1765621824.683638,303,2,3,14,3,14
1765621824.699841,304,2,3,14,3,14
1765621824.716612,304,2,3,14,3,14
1765621824.732980,304,2,3,14,3,14
1765621824.749357,305,2,3,14,3,14
1765621824.765856,305,2,3,14,3,14
1765621824.782631,305,2,3,14,3,14
1765621824.799038,306,2,3,14,3,14
1765621824.815474,306,2,3,14,3,14
1765621824.831728,307,2,3,14,3,14
1765621824.848430,307,2,3,14,3,14
1765621824.864148,307,2,3,14,3,14
1765621824.881140,308,2,3,14,3,14
1765621824.897418,308,2,3,14,3,14
1765621824.914534,309,2,3,14,3,14
1765621824.930903,309,2,3,14,3,14
1765621824.947289,309,2,3,14,3,14
1765621824.964168,310,2,3,14,3,14
1765621824.980759,310,2,3,14,3,14
1765621824.998992,311,2,3,14,3,14
1765621825.015720,311,2,3,14,3,14
1765621825.033078,311,2,3,14,3,14
1765621825.050334,312,2,3,14,3,14
1765621825.068214,312,2,3,14,3,14
1765621825.084276,313,2,3,14,3,14
1765621825.101840,313,2,3,14,3,14
1765621825.118896,313,2,3,14,3,14
1765621825.136312,314,2,3,14,3,14
1765621825.152873,314,2,3,14,3,14
1765621825.170194,315,2,3,14,3,14
1765621825.186248,315,2,3,14,3,14
1765621825.202209,315,2,3,14,3,14
1765621825.219344,316,2,3,14,3,14
1765621825.235945,316,2,3,14,3,14
1765621825.253219,317,2,3,14,3,14
1765621825.270005,317,2,3,14,3,14
1765621825.286972,317,2,3,14,3,14
1765621825.303882,318,2,3,14,3,14
1765621825.320146,318,2,3,14,3,14
1765621825.337940,319,2,3,14,3,14
1765621825.354875,319,2,3,14,3,14
1765621825.371792,319,2,3,14,3,14
1765621825.388010,320,2,3,14,3,14
1765621825.404638,320,2,3,14,3,14
1765621825.421802,321,2,3,14,3,14
1765621825.438324,321,2,3,14,3,14
1765621825.454578,321,2,3,14,3,14
1765621825.470575,322,2,3,14,3,14
1765621825.488065,322,2,3,14,3,14
1765621825.504446,323,2,3,14,3,14
1765621825.520628,323,2,3,14,3,14
1765621825.536816,323,2,3,14,3,14
1765621825.554889,324,2,3,14,3,14
1765621825.571354,324,2,3,14,3,14
1765621825.587908,325,2,3,14,3,14
1765621825.605776,325,2,3,14,3,14
1765621825.622735,325,2,3,14,3,14
1765621825.639672,326,2,3,14,3,14
