time,player_id,row,col
1766621363.211104,1,7,2
1766621363.232344,1,7,2
1766621363.253636,1,7,2
1766621363.274609,1,7,2
1766621363.295852,1,7,2
1766621363.317392,1,7,2
1766621363.338647,1,7,2
1766621363.359697,1,7,2
1766621363.380585,1,7,2
1766621363.401665,1,7,2
1766621363.423718,1,7,2
1766621363.445285,1,7,2
1766621363.466033,1,7,2
1766621363.494446,1,8,2
1766621363.516256,1,8,2
1766621363.537821,1,8,2
1766621363.558768,1,8,2
1766621363.579753,1,8,2
1766621363.601137,1,8,2
1766621363.622971,1,8,2
1766621363.644688,1,8,2
1766621363.665695,1,8,2
1766621363.686663,1,8,2
1766621363.708882,1,7,2
1766621363.730401,1,7,2
1766621363.751621,1,7,2
1766621363.772653,1,7,2
1766621363.793592,1,6,2
1766621363.814794,1,6,2
1766621363.836054,1,6,2
1766621363.857294,1,5,2
1766621363.878738,1,5,2
1766621363.900390,1,5,2
1766621363.921720,1,5,2
1766621363.943483,1,5,3
1766621363.964782,1,5,3
1766621363.986207,1,5,3
1766621364.007734,1,4,3
1766621364.028953,1,4,3
1766621364.050396,1,4,3
1766621364.071586,1,4,3
1766621364.089073,1,4,4
1766621364.110826,1,4,4
1766621364.131767,1,4,4
1766621364.154091,1,4,3
1766621364.175484,1,4,3
1766621364.197513,1,4,3
1766621364.218540,1,4,2
1766621364.240091,1,4,2
1766621364.261045,1,4,2
1766621364.281868,1,4,2
1766621364.303207,1,3,2
1766621364.324208,1,3,2
1766621364.345945,1,3,2
1766621364.368443,1,3,2
1766621364.391991,1,3,2
1766621364.415377,1,3,3
1766621364.437109,1,3,3
1766621364.458538,1,3,3
1766621364.480662,1,3,2
1766621364.502061,1,3,2
1766621364.523409,1,3,2
1766621364.545155,1,2,2
1766621364.566489,1,2,2
1766621364.587969,1,2,2
1766621364.609098,1,2,2
1766621364.630000,1,1,2
1766621364.651175,1,1,2
1766621364.672542,1,1,2
1766621364.693704,1,1,2
1766621364.715059,1,1,2
1766621364.736338,1,1,3
1766621364.757451,1,1,3
1766621364.779172,1,1,3
1766621364.800650,1,1,2
1766621364.821531,1,1,2
1766621364.842692,1,1,2
1766621364.864492,1,1,1
1766621364.886681,1,1,1
1766621364.908197,1,1,1
1766621364.929112,1,1,1
1766621364.950503,1,0,1
1766621364.971687,1,0,1
1766621364.992582,1,0,1
1766621365.015204,1,1,1
1766621365.015204,2,6,7
1766621365.035924,1,1,1
1766621365.035924,2,6,7
1766621365.056983,1,1,1
1766621365.056983,2,6,7
1766621365.080264,1,2,1
1766621365.080264,2,6,7
1766621365.097866,1,2,1
1766621365.097866,2,6,7
1766621365.121585,1,2,1
1766621365.121585,2,6,7
1766621365.143861,1,2,1
1766621365.143861,2,6,7
1766621365.165386,1,1,1
1766621365.165386,2,6,7
1766621365.187134,1,1,1
1766621365.187134,2,6,7
1766621365.208549,1,1,1
1766621365.208549,2,6,7
1766621365.230121,1,1,0
1766621365.230121,2,7,7
1766621365.252158,1,1,0
1766621365.252158,2,7,7
1766621365.273532,1,1,0
1766621365.273532,2,7,7
1766621365.294549,1,1,0
1766621365.294549,2,7,7
1766621365.326016,1,1,0
1766621365.326016,2,7,7
1766621365.344676,1,1,0
1766621365.344676,2,7,7
1766621365.370946,1,1,1
1766621365.370946,2,6,7
1766621365.392552,1,1,1
1766621365.392552,2,6,7
1766621365.414345,1,1,1
1766621365.414345,2,6,7
1766621365.435957,1,1,0
1766621365.435957,2,5,7
1766621365.457591,1,1,0
1766621365.457591,2,5,7
1766621365.480286,1,1,0
1766621365.480286,2,5,7
1766621365.501912,1,1,0
1766621365.501912,2,4,7
1766621365.523481,1,1,1
1766621365.523481,2,4,7
1766621365.544586,1,1,1
1766621365.544586,2,4,7
1766621365.566083,1,1,1
1766621365.566083,2,4,7
1766621365.587790,1,1,1
1766621365.587790,2,4,8
1766621365.610761,1,1,1
1766621365.610761,2,4,8
1766621365.632460,1,1,1
1766621365.632460,2,4,8
1766621365.653983,1,0,1
1766621365.653983,2,3,8
1766621365.675174,1,0,1
1766621365.675174,2,3,8
1766621365.696448,1,0,1
1766621365.696448,2,3,8
1766621365.718142,1,0,1
1766621365.718142,2,3,8
1766621365.739141,1,1,1
1766621365.739141,2,3,9
1766621365.760309,1,1,1
1766621365.760309,2,3,9
1766621365.781368,1,1,1
1766621365.781368,2,3,9
1766621365.802546,1,1,1
1766621365.802546,2,3,8
1766621365.824164,1,0,1
1766621365.824164,2,3,8
1766621365.845915,1,0,1
1766621365.845915,2,3,8
1766621365.869170,1,0,1
1766621365.869170,2,3,7
1766621365.890758,1,0,1
1766621365.890758,2,3,7
1766621365.911751,1,0,2
1766621365.911751,2,3,7
1766621365.932889,1,0,2
1766621365.932889,2,3,7
1766621365.954248,1,0,2
1766621365.954248,2,2,7
1766621365.975224,1,0,2
1766621365.975224,2,2,7
1766621365.996781,1,0,2
1766621365.996781,2,2,7
1766621366.017931,1,0,2
1766621366.017931,2,2,7
1766621366.039631,1,0,2
1766621366.039631,2,2,8
1766621366.061543,1,0,2
1766621366.061543,2,2,8
1766621366.082987,1,0,2
1766621366.082987,2,2,8
1766621366.104580,1,0,2
1766621366.104580,2,2,7
1766621366.125957,1,0,2
1766621366.125957,2,2,7
1766621366.147647,1,0,2
1766621366.147647,2,2,7
1766621366.169776,1,0,1
1766621366.169776,2,2,7
1766621366.191694,1,0,1
1766621366.191694,2,1,7
1766621366.212942,1,0,1
1766621366.212942,2,1,7
1766621366.234013,1,0,1
1766621366.234013,2,1,7
1766621366.255667,1,0,0
1766621366.255667,2,0,7
1766621366.277605,1,0,0
1766621366.277605,2,0,7
1766621366.299194,1,0,0
1766621366.299194,2,0,7
1766621366.320445,1,0,0
