time,snapshot_id,player_id,server_row,server_col,display_row,display_col
1765415317.756508,233,2,19,1,19,1
1765415317.770509,233,2,19,1,19,1
1765415317.787540,234,2,19,1,19,1
1765415317.809010,235,2,19,1,19,1
1765415317.825695,236,2,19,1,19,1
1765415317.839052,236,2,19,1,19,1
1765415317.853708,237,2,19,1,19,1
1765415317.870235,238,2,19,1,19,1
1765415317.885570,239,2,19,1,19,1
1765415317.901828,239,2,19,1,19,1
1765415317.918176,240,2,19,1,19,1
1765415317.934288,241,2,19,1,19,1
1765415317.951113,242,2,19,1,19,1
1765415317.967230,243,2,19,1,19,1
1765415317.983063,243,2,19,1,19,1
1765415317.998899,244,2,19,1,19,1
1765415318.014692,245,2,19,1,19,1
1765415318.031341,246,2,19,1,19,1
1765415318.047895,246,2,19,1,19,1
1765415318.064336,247,2,19,1,19,1
1765415318.080576,248,2,19,1,19,1
1765415318.098590,249,2,19,1,19,1
1765415318.113795,249,2,19,1,19,1
1765415318.129322,250,2,19,1,19,1
1765415318.146899,251,2,19,1,19,1
1765415318.167415,252,2,19,1,19,1
1765415318.180491,252,2,19,1,19,1
1765415318.196774,253,2,19,1,19,1
1765415318.213889,253,2,19,1,19,1
1765415318.230945,254,2,19,1,19,1
1765415318.247484,255,2,19,1,19,1
1765415318.264620,256,2,19,1,19,1
1765415318.281802,257,2,19,1,19,1
1765415318.298986,257,2,19,1,19,1
1765415318.315307,258,2,19,1,19,1
1765415318.331672,259,2,19,1,19,1
1765415318.347735,260,2,18,1,18,1
1765415318.364441,260,2,18,1,18,1
1765415318.381322,261,2,18,1,18,1
1765415318.398256,262,2,18,1,18,1
1765415318.415301,263,2,18,1,18,1
1765415318.431786,264,2,18,1,18,1
1765415318.448302,264,2,18,1,18,1
1765415318.536584,264,2,18,1,18,1
1765415318.568632,268,2,18,1,18,1
1765415318.585735,269,2,18,1,18,1
1765415318.602535,269,2,18,1,18,1
1765415318.618796,270,2,18,1,18,1
1765415318.635715,271,2,18,1,18,1
1765415318.652329,272,2,18,1,18,1
1765415318.669886,272,2,18,1,18,1
1765415318.686848,273,2,18,1,18,1
1765415318.703527,274,2,18,1,18,1
1765415318.720417,275,2,18,1,18,1
1765415318.736531,276,2,18,1,18,1
1765415318.753270,276,2,18,1,18,1
1765415318.770608,277,2,18,1,18,1
1765415318.787295,278,2,18,1,18,1
1765415318.804410,279,2,18,1,18,1
1765415318.820665,280,2,18,1,18,1
1765415318.837777,280,2,18,1,18,1
1765415318.853562,281,2,18,1,18,1
1765415318.871316,282,2,18,1,18,1
1765415318.887388,282,2,18,1,18,1
