time,player_id,row,col
1765627980.129341,1,0,12
1765627980.150503,1,0,12
1765627980.171566,1,0,12
1765627980.192267,1,0,12
1765627980.213371,1,0,12
1765627980.234203,1,0,12
1765627980.255879,1,0,12
1765627980.255879,2,19,1
1765627980.277034,1,0,12
1765627980.277034,2,19,1
1765627980.298178,1,0,12
1765627980.298178,2,19,1
1765627980.319278,1,0,12
1765627980.319278,2,19,1
1765627980.340357,1,0,12
1765627980.340357,2,19,1
1765627980.361626,1,0,12
1765627980.361626,2,19,1
1765627980.382941,1,0,12
1765627980.382941,2,19,1
1765627980.403820,1,0,12
1765627980.403820,2,19,1
1765627980.424911,1,0,12
1765627980.424911,2,19,1
1765627980.445737,1,0,12
1765627980.445737,2,19,1
1765627980.467287,1,0,12
1765627980.467287,2,19,1
1765627980.488484,1,0,12
1765627980.488484,2,19,1
1765627980.509591,1,0,12
1765627980.509591,2,19,1
1765627980.530922,1,0,12
1765627980.530922,2,19,1
1765627980.552294,1,0,12
1765627980.552294,2,19,1
1765627980.573787,1,0,12
1765627980.573787,2,19,1
1765627980.595087,1,0,12
1765627980.595087,2,19,1
1765627980.616657,1,0,12
1765627980.616657,2,19,1
1765627980.637685,1,0,12
1765627980.637685,2,19,1
1765627980.658684,1,0,12
1765627980.658684,2,19,1
1765627980.658684,3,7,2
1765627980.670280,1,0,12
1765627980.670280,2,19,1
1765627980.670280,3,7,2
1765627980.692165,1,0,12
1765627980.692165,2,19,1
1765627980.692165,3,7,2
1765627980.713584,1,0,12
1765627980.713584,2,19,1
1765627980.713584,3,7,2
1765627980.734944,1,0,12
1765627980.734944,2,19,1
1765627980.734944,3,7,2
1765627980.755819,1,0,12
1765627980.755819,2,19,1
1765627980.755819,3,7,2
1765627980.777443,1,0,12
1765627980.777443,2,19,1
1765627980.777443,3,7,2
1765627980.798503,1,0,12
1765627980.798503,2,19,1
1765627980.798503,3,7,2
1765627980.819690,1,0,12
1765627980.819690,2,19,1
1765627980.819690,3,7,2
1765627980.840818,1,0,12
1765627980.840818,2,19,1
1765627980.840818,3,7,2
1765627980.862361,1,0,12
1765627980.862361,2,19,1
1765627980.862361,3,7,2
1765627980.874075,1,0,12
1765627980.874075,2,19,1
1765627980.874075,3,7,2
1765627980.874075,4,6,7
1765627980.895235,1,0,12
1765627980.895235,2,19,1
1765627980.895235,3,7,2
1765627980.895235,4,6,7
1765627980.916534,1,0,12
1765627980.916534,2,19,1
1765627980.916534,3,7,2
1765627980.916534,4,6,7
1765627980.928279,1,0,12
1765627980.928279,2,19,1
1765627980.928279,3,7,2
1765627980.928279,4,6,7
1765627980.949460,1,0,12
1765627980.949460,2,19,1
1765627980.949460,3,7,2
1765627980.949460,4,6,7
1765627980.970936,1,0,12
1765627980.970936,2,19,1
1765627980.970936,3,7,2
1765627980.970936,4,6,7
1765627980.992024,1,0,12
1765627980.992024,2,19,1
1765627980.992024,3,7,2
1765627980.992024,4,6,7
1765627981.013522,1,0,12
1765627981.013522,2,19,1
1765627981.013522,3,7,2
1765627981.013522,4,6,7
1765627981.035121,1,0,12
1765627981.035121,2,19,1
1765627981.035121,3,7,2
1765627981.035121,4,6,7
1765627981.056342,1,0,12
1765627981.056342,2,19,1
1765627981.056342,3,7,2
1765627981.056342,4,6,7
1765627981.077440,1,0,12
1765627981.077440,2,19,1
1765627981.077440,3,7,2
1765627981.077440,4,6,7
1765627981.098954,1,0,12
1765627981.098954,2,19,1
1765627981.098954,3,7,2
1765627981.098954,4,6,7
1765627981.110218,1,0,12
1765627981.110218,2,19,1
1765627981.110218,3,7,2
1765627981.110218,4,6,7
1765627981.131982,1,0,12
1765627981.131982,2,18,1
1765627981.131982,3,7,2
1765627981.131982,4,6,7
1765627981.153531,1,0,12
1765627981.153531,2,18,1
1765627981.153531,3,7,2
1765627981.153531,4,6,7
1765627981.174811,1,0,12
1765627981.174811,2,18,1
1765627981.174811,3,7,2
1765627981.174811,4,6,7
1765627981.185933,1,0,12
1765627981.185933,2,18,1
1765627981.185933,3,7,2
1765627981.185933,4,6,7
1765627981.207024,1,0,12
1765627981.207024,2,18,1
1765627981.207024,3,7,2
1765627981.207024,4,6,7
1765627981.228408,1,0,12
1765627981.228408,2,18,1
1765627981.228408,3,7,2
1765627981.228408,4,6,7
1765627981.249424,1,0,12
1765627981.249424,2,18,1
1765627981.249424,3,7,2
1765627981.249424,4,6,7
1765627981.270567,1,0,12
1765627981.270567,2,18,1
1765627981.270567,3,7,2
1765627981.270567,4,6,7
1765627981.292148,1,0,12
1765627981.292148,2,18,1
1765627981.292148,3,7,2
1765627981.292148,4,6,7
1765627981.313737,1,0,12
1765627981.313737,2,18,1
1765627981.313737,3,7,2
1765627981.313737,4,6,7
1765627981.335385,1,0,12
1765627981.335385,2,18,1
1765627981.335385,3,7,2
1765627981.335385,4,6,7
1765627981.356995,1,0,12
1765627981.356995,2,18,1
1765627981.356995,3,7,2
1765627981.356995,4,6,7
1765627981.378539,1,0,12
1765627981.378539,2,18,1
1765627981.378539,3,7,2
1765627981.378539,4,6,7
1765627981.399783,1,0,12
1765627981.399783,2,18,1
1765627981.399783,3,7,2
1765627981.399783,4,6,7
1765627981.421335,1,0,12
1765627981.421335,2,18,1
1765627981.421335,3,7,2
1765627981.421335,4,6,7
1765627981.442512,1,0,12
1765627981.442512,2,18,1
1765627981.442512,3,7,2
1765627981.442512,4,6,7
1765627981.453647,1,0,12
1765627981.453647,2,18,1
1765627981.453647,3,7,2
1765627981.453647,4,6,7
1765627981.474761,1,0,12
1765627981.474761,2,18,1
1765627981.474761,3,7,2
1765627981.474761,4,6,7
1765627981.486431,1,0,12
1765627981.486431,2,18,1
1765627981.486431,3,7,2
1765627981.486431,4,6,7
1765627981.507290,1,0,12
1765627981.507290,2,18,1
1765627981.507290,3,7,2
1765627981.507290,4,6,7
1765627981.518403,1,0,12
1765627981.518403,2,18,1
1765627981.518403,3,7,2
1765627981.518403,4,6,7
1765627981.539622,1,0,12
1765627981.539622,2,18,1
1765627981.539622,3,7,2
1765627981.539622,4,6,7
1765627981.551035,1,0,12
1765627981.551035,2,18,1
1765627981.551035,3,6,2
1765627981.551035,4,6,7
1765627981.562352,1,0,12
1765627981.562352,2,18,1
1765627981.562352,3,6,2
1765627981.562352,4,6,7
1765627981.583428,1,0,12
1765627981.583428,2,18,1
1765627981.583428,3,6,2
1765627981.583428,4,6,7
1765627981.604183,1,0,12
1765627981.604183,2,18,1
