run_id,timestamp,update_hz,mean_error
1,2025-12-13 14:07:07,144,0.05375810278311964
2,2025-12-13 14:09:43,75,0.05877734975250792
3,2025-12-13 14:12:03,120,0.0498922896703349
4,2025-12-13 14:14:25,90,0.057399173301507546
